time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.559996,-0.000349,-0.000337,0.000838,0.000783
0.564996,-0.000344,-0.000332,0.000977,0.000943
0.569996,-0.000339,-0.000329,0.001125,0.001059
0.574996,-0.000333,-0.000322,0.001274,0.001240
0.579996,-0.000326,-0.000317,0.001416,0.001357
0.584996,-0.000319,-0.000308,0.001538,0.001516
0.589996,-0.000311,-0.000302,0.001637,0.001604
0.594996,-0.000302,-0.000292,0.001707,0.001705
0.599996,-0.000294,-0.000285,0.001743,0.001747
0.604996,-0.000285,-0.000275,0.001744,0.001767
0.609996,-0.000276,-0.000268,0.001711,0.001752
0.614996,-0.000268,-0.000257,0.001645,0.001690
0.619996,-0.000260,-0.000251,0.001549,0.001623
0.624996,-0.000253,-0.000241,0.001428,0.001490
0.629995,-0.000246,-0.000235,0.001287,0.001383
0.634995,-0.000240,-0.000227,0.001134,0.001204
0.639995,-0.000235,-0.000223,0.000975,0.001078
0.644995,-0.000230,-0.000217,0.000818,0.000886
0.649995,-0.000227,-0.000213,0.000665,0.000762
0.654995,-0.000224,-0.000209,0.000522,0.000583
0.659995,-0.000221,-0.000207,0.000396,0.000475
0.664995,-0.000220,-0.000204,0.000289,0.000335
0.669995,-0.000219,-0.000203,0.000202,0.000258
0.674995,-0.000218,-0.000202,0.000133,0.000166
0.679995,-0.000217,-0.000201,0.000078,0.000117
0.684995,-0.000217,-0.000200,0.000032,0.000058
0.689995,-0.000217,-0.000200,-0.000008,0.000025
0.694995,-0.000217,-0.000200,-0.000046,-0.000021
0.699995,-0.000218,-0.000200,-0.000087,-0.000051
0.704994,-0.000218,-0.000201,-0.000136,-0.000105
0.709994,-0.000219,-0.000201,-0.000196,-0.000149
0.714994,-0.000220,-0.000202,-0.000262,-0.000226
0.719994,-0.000222,-0.000203,-0.000332,-0.000280
0.724994,-0.000224,-0.000205,-0.000406,-0.000368
0.729994,-0.000226,-0.000207,-0.000478,-0.000428
0.734994,-0.000228,-0.000209,-0.000542,-0.000512
0.739994,-0.000231,-0.000211,-0.000591,-0.000557
0.744994,-0.000234,-0.000215,-0.000627,-0.000607
0.749994,-0.000238,-0.000217,-0.000653,-0.000631
0.754994,-0.000241,-0.000221,-0.000674,-0.000658
0.759994,-0.000244,-0.000224,-0.000692,-0.000673
0.764994,-0.000248,-0.000228,-0.000712,-0.000694
0.769994,-0.000251,-0.000231,-0.000736,-0.000711
0.774994,-0.000255,-0.000235,-0.000766,-0.000744
0.779994,-0.000259,-0.000238,-0.000802,-0.000772
0.784993,-0.000263,-0.000243,-0.000841,-0.000818
0.789993,-0.000268,-0.000246,-0.000880,-0.000850
0.794993,-0.000272,-0.000251,-0.000916,-0.000896
0.799993,-0.000277,-0.000255,-0.000945,-0.000923
0.804993,-0.000282,-0.000260,-0.000963,-0.000952
0.809993,-0.000286,-0.000264,-0.000967,-0.000961
0.814993,-0.000291,-0.000270,-0.000958,-0.000958
0.819993,-0.000296,-0.000274,-0.000938,-0.000946
0.824993,-0.000301,-0.000279,-0.000908,-0.000916
0.829993,-0.000305,-0.000283,-0.000869,-0.000889
0.834993,-0.000309,-0.000288,-0.000822,-0.000836
0.839993,-0.000313,-0.000292,-0.000769,-0.000796
0.844993,-0.000317,-0.000296,-0.000712,-0.000731
0.849993,-0.000320,-0.000299,-0.000650,-0.000684
0.854993,-0.000323,-0.000303,-0.000582,-0.000605
0.859993,-0.000326,-0.000305,-0.000513,-0.000549
0.864992,-0.000328,-0.000309,-0.000447,-0.000467
0.869992,-0.000330,-0.000310,-0.000387,-0.000417
0.874992,-0.000332,-0.000313,-0.000336,-0.000350
0.879992,-0.000334,-0.000314,-0.000295,-0.000313
0.884992,-0.000335,-0.000316,-0.000264,-0.000270
0.889992,-0.000336,-0.000317,-0.000243,-0.000249
0.894992,-0.000337,-0.000318,-0.000234,-0.000231
0.899992,-0.000339,-0.000319,-0.000236,-0.000228
0.904992,-0.000340,-0.000321,-0.000251,-0.000238
0.909992,-0.000341,-0.000322,-0.000278,-0.000255
0.914992,-0.000343,-0.000323,-0.000318,-0.000296
0.919992,-0.000344,-0.000325,-0.000365,-0.000332
0.924992,-0.000346,-0.000327,-0.000413,-0.000392
0.929992,-0.000349,-0.000328,-0.000454,-0.000428
0.934992,-0.000351,-0.000331,-0.000483,-0.000472
0.939991,-0.000353,-0.000333,-0.000499,-0.000490
0.944991,-0.000356,-0.000336,-0.000506,-0.000502
0.949991,-0.000358,-0.000338,-0.000507,-0.000504
0.954991,-0.000361,-0.000341,-0.000510,-0.000504
0.959991,-0.000364,-0.000343,-0.000524,-0.000509
0.964991,-0.000366,-0.000346,-0.000558,-0.000536
0.969991,-0.000369,-0.000348,-0.000616,-0.000571
0.974991,-0.000373,-0.000352,-0.000700,-0.000657
0.979991,-0.000376,-0.000354,-0.000808,-0.000735
0.984991,-0.000381,-0.000359,-0.000934,-0.000877
0.989991,-0.000386,-0.000363,-0.001077,-0.000985
0.994991,-0.000392,-0.000369,-0.001231,-0.001165
0.999991,-0.000398,-0.000374,-0.001391,-0.001291
1.004991,-0.000406,-0.000382,-0.001556,-0.001488
1.009991,-0.000414,-0.000388,-0.001718,-0.001620
1.014991,-0.000423,-0.000398,-0.001872,-0.001812
1.019992,-0.000433,-0.000405,-0.002013,-0.001932
1.024992,-0.000443,-0.000417,-0.002136,-0.002091
1.029992,-0.000454,-0.000426,-0.002240,-0.002182
1.034992,-0.000466,-0.000439,-0.002325,-0.002295
1.039993,-0.000478,-0.000448,-0.002390,-0.002356
1.044993,-0.000490,-0.000463,-0.002439,-0.002424
1.049993,-0.000502,-0.000472,-0.002471,-0.002456
1.054993,-0.000515,-0.000487,-0.002488,-0.002485
1.059994,-0.000527,-0.000497,-0.002492,-0.002493
1.064994,-0.000539,-0.000512,-0.002486,-0.002491
1.069994,-0.000552,-0.000522,-0.002474,-0.002483
1.074994,-0.000564,-0.000537,-0.002457,-0.002465
1.079994,-0.000576,-0.000547,-0.002439,-0.002452
1.084995,-0.000588,-0.000561,-0.002418,-0.002429
1.089995,-0.000601,-0.000571,-0.002390,-0.002410
1.094995,-0.000612,-0.000586,-0.002355,-0.002374
1.099995,-0.000624,-0.000595,-0.002309,-0.002342
1.104996,-0.000635,-0.000609,-0.002250,-0.002280
1.109996,-0.000646,-0.000618,-0.002174,-0.002227
1.114996,-0.000657,-0.000631,-0.002081,-0.002126
1.119996,-0.000667,-0.000640,-0.001974,-0.002045
1.124997,-0.000677,-0.000652,-0.001854,-0.001909
1.129997,-0.000685,-0.000659,-0.001724,-0.001810
1.134997,-0.000694,-0.000670,-0.001581,-0.001648
1.139997,-0.000701,-0.000676,-0.001422,-0.001528
1.144997,-0.000708,-0.000685,-0.001245,-0.001325
1.149998,-0.000713,-0.000690,-0.001053,-0.001177
1.154998,-0.000718,-0.000697,-0.000846,-0.000938
1.159998,-0.000722,-0.000700,-0.000624,-0.000767
1.164998,-0.000724,-0.000704,-0.000389,-0.000492
1.169999,-0.000725,-0.000706,-0.000143,-0.000300
